"id","name","birthDate","birthPlace","gender"
"nm0000496","Juliette Lewis","1973-06-21","Los Angeles, California, USA","female"
"nm0000621","Kurt Russell","1951-03-17","Springfield, Massachusetts, USA","male"
"nm1422176","Jess Weixler","1981-06-08","Louisville, Kentucky, USA","female"
"nm1017334","Juno Temple","1989-07-21","London, England, UK","female"
"nm2794962","Hailee Steinfeld","1996-12-11","Tarzana, Los Angeles, California, USA","female"
"nm0120116","Jeremy Bulloch","1945-02-16","Market Harborough, Leicestershire, England, UK","male"
"nm1720028","Amber Heard","1986-04-22","Austin, Texas, USA","female"
"nm0397171","Bryce Dallas Howard","1981-03-02","Los Angeles, California, USA","female"
"nm0472710","David Krumholtz","1978-05-15","Queens, New York City, New York, USA","male"
"nm0829576","Kristen Stewart","1990-04-09","Los Angeles, California, USA","female"
"nm6073955","Florence Pugh","1996-01-03","Oxford, Oxfordshire, England, UK","female"
"nm4006608","Chloe Pirrie","1987-08-25","Edinburgh, Scotland, UK","female"
"nm3053338","Margot Robbie","1990-07-02","Dalby, Queensland, Australia","female"
"nm0358922","Emily Hampshire","1981-08-29","Montreal, Quebec, Canada","female"
"nm0893584","Vera-Ellen","1921-02-16","Norwood, Ohio, USA","female"
"nm0000138","Leonardo DiCaprio","1974-11-11","Hollywood, Los Angeles, California, USA","male"
"nm0000096","Gillian Anderson","1968-08-09","Chicago, Illinois, USA","female"
"nm0424060","Scarlett Johansson","1984-11-22","Manhattan, New York City, New York, USA","female"
"nm0544718","Kate Mara","1983-02-27","Bedford, New York, USA","female"
"nm0147147","Henry Cavill","1983-05-05","Jersey, Channel Islands","male"
"nm4972453","Olivia Cooke","1993-12-27","Oldham, Greater Manchester, England, UK","female"
"nm0879085","Tyrese Gibson","1978-12-30","Watts, Los Angeles, California, USA","male"
"nm0700577","Lucy Punch","1977-12-30","London, England, UK","female"
"nm0244630","Eliza Dushku","1980-12-30","Boston, Massachusetts, USA","female"
"nm0471036","Kristin Kreuk","1982-12-30","Vancouver, British Columbia, Canada","female"
"nm0000084","Li Gong","1965-12-31","Shenyang, Liaoning Province, China","female"
"nm0001513","Tim Matheson","1947-12-31","Glendale, California, USA","male"
"nm0000164","Anthony Hopkins","1937-12-31","Margam, Port Talbot, West Glamorgan, Wales, UK","male"
"nm0000174","Val Kilmer","1959-12-31","Los Angeles, California, USA","male"
"nm0001564","Bebe Neuwirth","1958-12-31","Princeton, New Jersey, USA","female"
"nm0001664","James Remar","1953-12-31","Boston, Massachusetts, USA","male"
